symbol,name,qty,averagePrice
BA,Boeing Co.,75,215.35
CAT,Caterpillar Inc.,50,240.90
MMM,3M Company,120,110.25
HON,Honeywell International Inc.,90,205.70
UTX,United Technologies Corporation,60,135.85
GE,General Electric Company,150,80.40
DE,Deere & Company,40,380.65
LMT,Lockheed Martin Corporation,30,410.20
RTN,Raytheon Technologies Corporation,80,95.50
GD,General Dynamics Corporation,100,230.75
NOC,Northrop Grumman Corporation,70,400.95
GS,Goldman Sachs Group Inc.,50,350.80
MS,Morgan Stanley,120,90.60
JPM,JPMorgan Chase & Co.,200,145.25
C,Citigroup Inc.,180,50.35
WMT,Walmart Inc.,110,140.70
COST,Costco Wholesale Corporation,60,500.45
TGT,Target Corporation,90,220.85
CVS,CVS Health Corporation,130,80.60
UNH,UnitedHealth Group Incorporated,40,480.35
VZ,Verizon Communications Inc.,80,55.90
T,AT&T Inc.,160,20.75
CMCSA,Comcast Corporation,100,45.60
DISH,Dish Network Corporation,70,30.25
SBUX,Starbucks Corporation,140,105.80
MCD,McDonald's Corporation,220,255.10
YUM,Yum! Brands Inc.,150,120.45
DPZ,Domino's Pizza Inc.,90,400.75
KO,Coca-Cola Company,60,60.55
